DD,MM,YYYY,HH_start,HH_end_1,solar_heat_production_Mwh,solar_radiation_Wh-sqm,HH_end_2,diff_HH_end_2-1,count_of_selcted,manipulated
8,4,2012,7,8,0,49,8,0,2336,
8,4,2012,8,9,0.02,174,9,0,2337,
8,4,2012,9,10,0.47,442,10,0,2338,
8,4,2012,10,11,4.89,657,11,0,2339,
8,4,2012,11,12,7.32,799,12,0,2340,
8,4,2012,12,13,9.02,907,13,0,2341,
8,4,2012,13,14,9.08,948,14,0,2342,
8,4,2012,14,15,7.43,811,15,0,2343,
8,4,2012,15,16,6.88,814,16,0,2344,
8,4,2012,16,17,2.85,479,17,0,2345,
8,4,2012,17,18,2.29,311,18,0,2346,
8,4,2012,18,19,0.1,119,19,0,2347,
8,4,2012,19,20,0,37,20,0,2348,
8,4,2012,20,21,0,2,21,0,2349,
8,4,2012,21,22,0,0,22,0,2350,
8,4,2012,22,23,0,0,23,0,2351,
8,4,2012,23,24,0,0,24,0,2352,
9,4,2012,0,1,0,0,1,0,2353,
9,4,2012,1,2,0,0,2,0,2354,
9,4,2012,2,3,0,0,3,0,2355,
9,4,2012,3,4,0,0,4,0,2356,
9,4,2012,4,5,0,0,5,0,2357,
9,4,2012,5,6,0,0,6,0,2358,
9,4,2012,6,7,0,0,7,0,2359,
9,4,2012,7,8,0,13,8,0,2360,
9,4,2012,8,9,0,30,9,0,2361,
9,4,2012,9,10,0,54,10,0,2362,
9,4,2012,10,11,0,57,11,0,2363,
9,4,2012,11,12,0,115,12,0,2364,
9,4,2012,12,13,0,93,13,0,2365,
9,4,2012,13,14,0,103,14,0,2366,
9,4,2012,14,15,0,76,15,0,2367,
9,4,2012,15,16,0,127,16,0,2368,
9,4,2012,16,17,0,126,17,0,2369,
9,4,2012,17,18,0,70,18,0,2370,
9,4,2012,18,19,0,35,19,0,2371,
9,4,2012,19,20,0,11,20,0,2372,
9,4,2012,20,21,0,1,21,0,2373,
9,4,2012,21,22,0,0,22,0,2374,
9,4,2012,22,23,0,0,23,0,2375,
9,4,2012,23,24,0,0,24,0,2376,
10,4,2012,0,1,0,0,1,0,2377,
10,4,2012,1,2,0,0,2,0,2378,
10,4,2012,2,3,0,0,3,0,2379,
10,4,2012,3,4,0,0,4,0,2380,
10,4,2012,4,5,0,0,5,0,2381,
10,4,2012,5,6,0,0,6,0,2382,
10,4,2012,6,7,0,0,7,0,2383,
10,4,2012,7,8,0,6,8,0,2384,
10,4,2012,8,9,0,20,9,0,2385,
10,4,2012,9,10,0,27,10,0,2386,
10,4,2012,10,11,0,55,11,0,2387,
10,4,2012,11,12,0,94,12,0,2388,
10,4,2012,12,13,0,79,13,0,2389,
10,4,2012,13,14,3.97,658,14,0,2390,
10,4,2012,14,15,7.47,800,15,0,2391,
10,4,2012,15,16,5.31,643,16,0,2392,
10,4,2012,16,17,5.28,634,17,0,2393,
10,4,2012,17,18,1.78,289,18,0,2394,
10,4,2012,18,19,0.28,118,19,0,2395,
10,4,2012,19,20,0,47,20,0,2396,
10,4,2012,20,21,0,6,21,0,2397,
10,4,2012,21,22,0,0,22,0,2398,
10,4,2012,22,23,0,0,23,0,2399,
10,4,2012,23,24,0,0,24,0,2400,
11,4,2012,0,1,0,0,1,0,2401,
11,4,2012,1,2,0,0,2,0,2402,
11,4,2012,2,3,0,0,3,0,2403,
11,4,2012,3,4,0,0,4,0,2404,
11,4,2012,4,5,0,0,5,0,2405,
11,4,2012,5,6,0,0,6,0,2406,
11,4,2012,6,7,0,1,7,0,2407,
11,4,2012,7,8,0,18,8,0,2408,
11,4,2012,8,9,0,77,9,0,2409,
11,4,2012,9,10,0.09,273,10,0,2410,
11,4,2012,10,11,2.61,576,11,0,2411,
11,4,2012,11,12,6.38,649,12,0,2412,
11,4,2012,12,13,2.89,515,13,0,2413,
11,4,2012,13,14,4.67,691,14,0,2414,
11,4,2012,14,15,5.11,664,15,0,2415,
11,4,2012,15,16,3.49,608,16,0,2416,
11,4,2012,16,17,6.81,675,17,0,2417,
11,4,2012,17,18,1.75,431,18,0,2418,
11,4,2012,18,19,1.47,205,19,0,2419,
11,4,2012,19,20,0,59,20,0,2420,
11,4,2012,20,21,0,6,21,0,2421,
11,4,2012,21,22,0,0,22,0,2422,
11,4,2012,22,23,0,0,23,0,2423,
11,4,2012,23,24,0,0,24,0,2424,
12,4,2012,0,1,0,0,1,0,2425,
12,4,2012,1,2,0,0,2,0,2426,
12,4,2012,2,3,0,0,3,0,2427,
12,4,2012,3,4,0,0,4,0,2428,
12,4,2012,4,5,0,0,5,0,2429,
12,4,2012,5,6,0,0,6,0,2430,
12,4,2012,6,7,0,4,7,0,2431,
12,4,2012,7,8,0,62,8,0,2432,
12,4,2012,8,9,0.04,169,9,0,2433,
12,4,2012,9,10,0.13,220,10,0,2434,
12,4,2012,10,11,3.49,516,11,0,2435,
12,4,2012,11,12,5.92,756,12,0,2436,
12,4,2012,12,13,9.46,893,13,0,2437,
12,4,2012,13,14,8.42,858,14,0,2438,
12,4,2012,14,15,7.59,828,15,0,2439,
12,4,2012,15,16,7.27,804,16,0,2440,
12,4,2012,16,17,6.1,690,17,0,2441,
12,4,2012,17,18,3.14,400,18,0,2442,
12,4,2012,18,19,1.26,246,19,0,2443,
12,4,2012,19,20,0,68,20,0,2444,
12,4,2012,20,21,0,12,21,0,2445,
12,4,2012,21,22,0,0,22,0,2446,
12,4,2012,22,23,0,0,23,0,2447,
12,4,2012,23,24,0,0,24,0,2448,
13,4,2012,0,1,0,0,1,0,2449,
13,4,2012,1,2,0,0,2,0,2450,
13,4,2012,2,3,0,0,3,0,2451,
13,4,2012,3,4,0,0,4,0,2452,
13,4,2012,4,5,0,0,5,0,2453,
13,4,2012,5,6,0,0,6,0,2454,
13,4,2012,6,7,0,1,7,0,2455,
13,4,2012,7,8,0,12,8,0,2456,
13,4,2012,8,9,0,53,9,0,2457,
13,4,2012,9,10,0,78,10,0,2458,
13,4,2012,10,11,0.11,253,11,0,2459,
13,4,2012,11,12,7.64,853,12,0,2460,
13,4,2012,12,13,9.03,932,13,0,2461,
13,4,2012,13,14,9.66,963,14,0,2462,
13,4,2012,14,15,9.2,908,15,0,2463,
13,4,2012,15,16,7.84,815,16,0,2464,
13,4,2012,16,17,5.49,647,17,0,2465,
13,4,2012,17,18,2.46,442,18,0,2466,
13,4,2012,18,19,0.96,104,19,0,2467,
13,4,2012,19,20,0,33,20,0,2468,
13,4,2012,20,21,0,8,21,0,2469,
13,4,2012,21,22,0,0,22,0,2470,
13,4,2012,22,23,0,0,23,0,2471,
13,4,2012,23,24,0,0,24,0,2472,
