DD,MM,YYYY,HH_start,HH_end_1,solar_heat_production_Mwh,solar_radiation_Wh-sqm,HH_end_2,diff_HH_end_2-1,count_of_selcted,manipulated
6,11,2012,6,7,0,0,7,0,7423,
6,11,2012,7,8,0,0,8,0,7424,
6,11,2012,8,9,0,0,9,0,7425,
6,11,2012,9,10,0,0,10,0,7426,
6,11,2012,10,11,0.15,20,11,0,7427,
6,11,2012,11,12,0.98,130,12,0,7428,
6,11,2012,12,13,0.08,11,13,0,7429,
6,11,2012,13,14,0,0,14,0,7430,
6,11,2012,14,15,0,1,15,0,7431,
6,11,2012,15,16,0,0,16,0,7432,
6,11,2012,16,17,0,0,17,0,7433,
6,11,2012,17,18,0,0,18,0,7434,
6,11,2012,18,19,0,0,19,0,7435,
6,11,2012,19,20,0,0,20,0,7436,
6,11,2012,20,21,0,0,21,0,7437,
6,11,2012,21,22,0,0,22,0,7438,
6,11,2012,22,23,0.01,1,23,0,7439,
6,11,2012,23,24,0.01,1,24,0,7440,
7,11,2012,0,1,0,1,1,0,7441,
7,11,2012,1,2,0.01,1,2,0,7442,
7,11,2012,2,3,0,1,3,0,7443,
7,11,2012,3,4,0,1,4,0,7444,
7,11,2012,4,5,0,0,5,0,7445,
7,11,2012,5,6,0,0,6,0,7446,
7,11,2012,6,7,0,0,7,0,7447,
7,11,2012,7,8,0,0,8,0,7448,
7,11,2012,8,9,0,0,9,0,7449,
7,11,2012,9,10,0,0,10,0,7450,
7,11,2012,10,11,0,0,11,0,7451,
7,11,2012,11,12,0.02,3,12,0,7452,
7,11,2012,12,13,0,0,13,0,7453,
7,11,2012,13,14,0.01,1,14,0,7454,
7,11,2012,14,15,0.01,1,15,0,7455,
7,11,2012,15,16,0,1,16,0,7456,
7,11,2012,16,17,0.01,1,17,0,7457,
7,11,2012,17,18,0,0,18,0,7458,
7,11,2012,18,19,0,0,19,0,7459,
7,11,2012,19,20,0,1,20,0,7460,
7,11,2012,20,21,0,0,21,0,7461,
7,11,2012,21,22,0,1,22,0,7462,
7,11,2012,22,23,0,1,23,0,7463,
7,11,2012,23,24,0,1,24,0,7464,
8,11,2012,0,1,0,0,1,0,7465,
8,11,2012,1,2,0,0,2,0,7466,
8,11,2012,2,3,0,0,3,0,7467,
8,11,2012,3,4,0,1,4,0,7468,
8,11,2012,4,5,0,0,5,0,7469,
8,11,2012,5,6,0,0,6,0,7470,
8,11,2012,6,7,0,0,7,0,7471,
8,11,2012,7,8,0,0,8,0,7472,
8,11,2012,8,9,0,0,9,0,7473,
8,11,2012,9,10,0,0,10,0,7474,
8,11,2012,10,11,0,0,11,0,7475,
8,11,2012,11,12,0,0,12,0,7476,
8,11,2012,12,13,0,0,13,0,7477,
8,11,2012,13,14,0,0,14,0,7478,
8,11,2012,14,15,0.01,1,15,0,7479,
8,11,2012,15,16,0.01,1,16,0,7480,
8,11,2012,16,17,0.01,1,17,0,7481,
8,11,2012,17,18,0.01,1,18,0,7482,
8,11,2012,18,19,0.01,1,19,0,7483,
8,11,2012,19,20,0.01,1,20,0,7484,
8,11,2012,20,21,0.01,1,21,0,7485,
8,11,2012,21,22,0.01,1,22,0,7486,
8,11,2012,22,23,0.01,1,23,0,7487,
8,11,2012,23,24,0.01,1,24,0,7488,
9,11,2012,0,1,0.01,1,1,0,7489,
9,11,2012,1,2,0.01,1,2,0,7490,
9,11,2012,2,3,0.01,1,3,0,7491,
9,11,2012,3,4,0.01,1,4,0,7492,
9,11,2012,4,5,0.01,1,5,0,7493,
9,11,2012,5,6,0,0,6,0,7494,
9,11,2012,6,7,0,0,7,0,7495,
9,11,2012,7,8,0,0,8,0,7496,
9,11,2012,8,9,0,0,9,0,7497,
9,11,2012,9,10,0.01,1,10,0,7498,
9,11,2012,10,11,0,0,11,0,7499,
9,11,2012,11,12,0,1,12,0,7500,
9,11,2012,12,13,0.01,1,13,0,7501,
9,11,2012,13,14,0,1,14,0,7502,
9,11,2012,14,15,0.01,1,15,0,7503,
9,11,2012,15,16,0,1,16,0,7504,
9,11,2012,16,17,0,1,17,0,7505,
9,11,2012,17,18,0,0,18,0,7506,
9,11,2012,18,19,0,1,19,0,7507,
9,11,2012,19,20,0.01,1,20,0,7508,
9,11,2012,20,21,0.01,1,21,0,7509,
9,11,2012,21,22,0.01,1,22,0,7510,
9,11,2012,22,23,0.01,1,23,0,7511,
9,11,2012,23,24,0.01,1,24,0,7512,
10,11,2012,0,1,0.01,1,1,0,7513,
10,11,2012,1,2,0.01,1,2,0,7514,
10,11,2012,2,3,0,0,3,0,7515,
10,11,2012,3,4,0,0,4,0,7516,
10,11,2012,4,5,0.01,1,5,0,7517,
10,11,2012,5,6,0,0,6,0,7518,
10,11,2012,6,7,0,0,7,0,7519,
10,11,2012,7,8,0,0,8,0,7520,
10,11,2012,8,9,0,0,9,0,7521,
10,11,2012,9,10,0,0,10,0,7522,
10,11,2012,10,11,0,0,11,0,7523,
10,11,2012,11,12,0,0,12,0,7524,
10,11,2012,12,13,0,0,13,0,7525,
10,11,2012,13,14,0,0,14,0,7526,
10,11,2012,14,15,0,0,15,0,7527,
10,11,2012,15,16,0,0,16,0,7528,
10,11,2012,16,17,0,0,17,0,7529,
10,11,2012,17,18,0,0,18,0,7530,
10,11,2012,18,19,0,0,19,0,7531,
10,11,2012,19,20,0,0,20,0,7532,
10,11,2012,20,21,0,0,21,0,7533,
10,11,2012,21,22,0,0,22,0,7534,
10,11,2012,22,23,0,1,23,0,7535,
10,11,2012,23,24,0.01,1,24,0,7536,
11,11,2012,0,1,0.01,1,1,0,7537,
11,11,2012,1,2,0.01,1,2,0,7538,
11,11,2012,2,3,0,0,3,0,7539,
11,11,2012,3,4,0,1,4,0,7540,
11,11,2012,4,5,0,1,5,0,7541,
11,11,2012,5,6,0,1,6,0,7542,
11,11,2012,6,7,0,0,7,0,7543,
11,11,2012,7,8,0.01,1,8,0,7544,
11,11,2012,8,9,0,1,9,0,7545,
11,11,2012,9,10,0,1,10,0,7546,
11,11,2012,10,11,0.01,1,11,0,7547,
11,11,2012,11,12,0.68,90,12,0,7548,
11,11,2012,12,13,1.67,221,13,0,7549,
11,11,2012,13,14,0.77,101,14,0,7550,
11,11,2012,14,15,0.81,107,15,0,7551,
11,11,2012,15,16,0.01,1,16,0,7552,
11,11,2012,16,17,0.01,1,17,0,7553,
11,11,2012,17,18,0.01,1,18,0,7554,
11,11,2012,18,19,0.01,1,19,0,7555,
11,11,2012,19,20,0.01,1,20,0,7556,
11,11,2012,20,21,0.01,1,21,0,7557,
11,11,2012,21,22,0.01,1,22,0,7558,
11,11,2012,22,23,0.01,1,23,0,7559,
11,11,2012,23,24,0.01,1,24,0,7560,
12,11,2012,0,1,0.01,1,1,0,7561,
12,11,2012,1,2,0.01,1,2,0,7562,
12,11,2012,2,3,0,0,3,0,7563,
12,11,2012,3,4,0,0,4,0,7564,
12,11,2012,4,5,0,0,5,0,7565,
12,11,2012,5,6,0,0,6,0,7566,
12,11,2012,6,7,0,0,7,0,7567,
12,11,2012,7,8,0,0,8,0,7568,
12,11,2012,8,9,0,0,9,0,7569,
12,11,2012,9,10,0,0,10,0,7570,
12,11,2012,10,11,0,0,11,0,7571,
12,11,2012,11,12,0.93,123,12,0,7572,
