Gwh,DK,DE,NO,SE
DK,,996.807074654424,6653.20206106908,3015.16280902378
DE,18638.6159976241,,6790.65426761737,1641.6170315154
NO,3319.92588517516,2028.49829353699,,30.5680738058338
SE,8971.94892554157,2018.31465780005,15308.6880936198,
