Gwh,DK,DE,NO,SE
DK,,2886.65094951094,6561.10151519062,3508.51631718592
DE,12027.829027436,,7476.83345751953,1490.8595699258
NO,2742.25731761185,2299.5,,151.907479670298
SE,6770.62777569745,2342.94365514353,12181.2283451601,
