Gwh,DK,DE,NO,SE
DK,,5488.46404478513,7986.98773507832,3526.4085223373
DE,13407.2049982796,,7592.15753001364,1947.65686105592
NO,3758.4910786702,2872.00408223125,,2284.17074772658
SE,6687.72185355078,1534.69982470097,18354.7797811506,
