Gwh,DK,DE,NO,SE
DK,,6418.04240363215,8032.87970265543,5414.64255670146
DE,14320.0334925814,,7329.30300167128,3579.1698009256
NO,2738.51231207316,2269.83389006314,,1743.79067713794
SE,6510.11489718799,3129.94938568849,15840.1666548127,
