Gwh,DK,DE,NO,SE
DK,,518.169145395687,6168.54568360346,1938.97229493427
DE,23146.3995806186,,7496.99853943931,2044.03618830026
NO,3639.47069248795,1582.43094477984,,187.068402084543
SE,9961.4748387921,1892.86302463939,14491.2364353886,
