Gwh,DK,DE,NO,SE
DK,,6676.53718725503,7934.31556608636,4273.09919215083
DE,16365.6055207265,,7008.85512163555,4667.68528336525
NO,3859.10136315615,3073.02332466116,,1439.75236263619
SE,7368.64755044128,3453.29015537033,19625.5815532726,
