Gwh,DK,DE,NO,SE
DK,,3921.07211914797,8112.93147020818,5152.41554892787
DE,14303.5653901197,,7806.40982721917,2172.51682235262
NO,2744.09918440079,1998.99540175912,,636.126716828866
SE,5765.03083859267,1818.30330384945,14259.6299211868,
