Gwh,DK,DE,NO,SE
DK,,5950.45993748678,5815.43537691759,3846.69081661396
DE,10795.1327546134,,6032.12224311737,1690.20098861684
NO,3544.26577450564,3553.01498194241,,911.178562478148
SE,8425.66483582394,2353.60404175836,10552.3529584952,
